Ghi,Ebh,Dni,Dhi,cloud_opacity,period_end,Period
816,647,808,169,6,2021-09-21T10:00:00Z,PT30M
785,624,815,160,5,2021-09-21T09:30:00Z,PT30M
710,526,735,184,8,2021-09-21T09:00:00Z,PT30M
518,206,313,311,26,2021-09-21T08:30:00Z,PT30M
554,383,657,170,9,2021-09-21T08:00:00Z,PT30M
520,438,853,82,0,2021-09-21T07:30:00Z,PT30M
306,162,410,144,24,2021-09-21T07:00:00Z,PT30M
288,203,617,84,5,2021-09-21T06:30:00Z,PT30M
189,131,586,58,0,2021-09-21T06:00:00Z,PT30M
68,31,181,37,26,2021-09-21T05:30:00Z,PT30M
3,0,0,3,53,2021-09-21T05:00:00Z,PT30M
0,0,0,0,80,2021-09-21T04:30:00Z,PT30M
0,0,0,0,92,2021-09-21T04:00:00Z,PT30M
0,0,0,0,76,2021-09-21T03:30:00Z,PT30M
0,0,0,0,74,2021-09-21T03:00:00Z,PT30M
0,0,0,0,59,2021-09-21T02:30:00Z,PT30M
0,0,0,0,32,2021-09-21T02:00:00Z,PT30M
0,0,0,0,0,2021-09-21T01:30:00Z,PT30M
0,0,0,0,3,2021-09-21T01:00:00Z,PT30M
0,0,0,0,0,2021-09-21T00:30:00Z,PT30M
0,0,0,0,11,2021-09-21,PT30M
0,0,0,0,25,2021-09-20T23:30:00Z,PT30M
0,0,0,0,18,2021-09-20T23:00:00Z,PT30M
0,0,0,0,19,2021-09-20T22:30:00Z,PT30M
0,0,0,0,12,2021-09-20T22:00:00Z,PT30M
0,0,0,0,0,2021-09-20T21:30:00Z,PT30M
0,0,0,0,0,2021-09-20T21:00:00Z,PT30M
0,0,0,0,2,2021-09-20T20:30:00Z,PT30M
0,0,0,0,3,2021-09-20T20:00:00Z,PT30M
0,0,0,0,3,2021-09-20T19:30:00Z,PT30M
0,0,0,0,3,2021-09-20T19:00:00Z,PT30M
0,0,0,0,5,2021-09-20T18:30:00Z,PT30M
0,0,0,0,35,2021-09-20T18:00:00Z,PT30M
0,0,0,0,22,2021-09-20T17:30:00Z,PT30M
5,1,6,4,11,2021-09-20T17:00:00Z,PT30M
53,25,147,28,0,2021-09-20T16:30:00Z,PT30M
148,97,495,51,0,2021-09-20T16:00:00Z,PT30M
258,199,662,60,0,2021-09-20T15:30:00Z,PT30M
307,161,414,146,17,2021-09-20T15:00:00Z,PT30M
316,77,161,238,34,2021-09-20T14:30:00Z,PT30M
399,120,215,279,30,2021-09-20T14:00:00Z,PT30M
378,65,106,312,42,2021-09-20T13:30:00Z,PT30M
474,212,296,262,36,2021-09-20T13:00:00Z,PT30M
770,640,845,130,4,2021-09-20T12:30:00Z,PT30M
846,755,942,91,0,2021-09-20T12:00:00Z,PT30M
870,774,936,95,0,2021-09-20T11:30:00Z,PT30M
838,681,827,156,5,2021-09-20T11:00:00Z,PT30M
815,637,774,178,6,2021-09-20T10:30:00Z,PT30M
840,735,903,106,0,2021-09-20T10:00:00Z,PT30M
650,333,440,317,19,2021-09-20T09:30:00Z,PT30M
458,92,129,366,38,2021-09-20T09:00:00Z,PT30M
308,21,32,287,53,2021-09-20T08:30:00Z,PT30M
271,25,42,246,53,2021-09-20T08:00:00Z,PT30M
215,27,52,189,56,2021-09-20T07:30:00Z,PT30M
122,2,6,120,68,2021-09-20T07:00:00Z,PT30M
48,1,2,47,73,2021-09-20T06:00:00Z,PT30M
18,1,6,17,69,2021-09-20T05:30:00Z,PT30M
9,2,14,6,0,2021-09-20T05:00:00Z,PT30M
0,0,0,0,3,2021-09-20T04:30:00Z,PT30M
0,0,0,0,10,2021-09-20T04:00:00Z,PT30M
0,0,0,0,27,2021-09-20T03:30:00Z,PT30M
0,0,0,0,23,2021-09-20T03:00:00Z,PT30M
0,0,0,0,46,2021-09-20T02:30:00Z,PT30M
