Time,,,Temperature (Celsius),Wind Speed (KPH),Humidity (%)
9/10/21,12:00:00,AM,17,20.4,52
9/10/21,6:00:00,AM,14,29.6,82.3
9/10/21,8:00:00,AM,14,29.6,77
9/10/21,10:00:00,AM,15,25.9,72.2
9/10/21,12:00:00,PM,17,35.2,63.6
9/10/21,2:00:00,PM,17,38.9,63.6
9/10/21,4:00:00,PM,16,42.6,67.8
9/10/21,6:00:00,PM,15,33.3,72.2
9/10/21,8:00:00,PM,13,31.5,82.2
9/10/21,10:00:00,PM,12,24.1,87.7
9/11/21,12:00:00,AM,12,25.9,87.7
9/11/21,6:00:00,AM,12,22.2,87.7
9/11/21,8:00:00,AM,12,24.1,87.7
9/11/21,10:00:00,AM,14,22.2,77
9/11/21,12:00:00,PM,17,29.6,63.6
9/11/21,2:00:00,PM,18,22.2,68.1
9/11/21,4:00:00,PM,16,29.6,77.3
9/11/21,6:00:00,PM,15,24.1,82.4
9/11/21,8:00:00,PM,14,18.5,93.8
9/11/21,10:00:00,PM,14,20.4,87.9
9/12/21,12:00:00,AM,14,20.4,87.9
9/12/21,6:00:00,AM,13,20.4,93.7
9/12/21,8:00:00,AM,13,24.1,93.7
9/12/21,10:00:00,AM,14,22.2,93.8
9/12/21,12:00:00,PM,15,18.5,93.8
9/12/21,2:00:00,PM,14,5.6,93.8
9/12/21,4:00:00,PM,16,18.5,67.8
9/12/21,6:00:00,PM,15,18.5,59
9/12/21,8:00:00,PM,13,9.3,71.9
9/12/21,10:00:00,PM,12,11.1,76.7
9/13/21,0:00,,9,5.6,87.4
9/13/21,6:00,,8,9.3,93.5
9/13/21,8:00,,12,11.1,82
9/13/21,10:00,,15,25.9,63.2
9/13/21,12:00,,16,29.6,55.4
9/13/21,14:00,,17,33.3,55.6
9/13/21,16:00,,16,37,59.3
9/13/21,18:00,,14,29.6,67.4
9/13/21,20:00,,13,24.1,71.9
9/13/21,22:00,,13,29.6,67.2
9/14/21,0:00,,12,22.2,71.7
9/14/21,6:00,,10,14.8,87.5
9/14/21,8:00,,10,5.6,87.5
