Ghi,Ebh,Dni,Dhi,cloud_opacity,period_end,Period
94,1,3,93,76,2021-11-07T06:00:00Z,PT30M
42,0,0,42,85,2021-11-07T05:30:00Z,PT30M
21,0,0,21,87,2021-11-07T05:00:00Z,PT30M
18,0,0,18,74,2021-11-07T04:30:00Z,PT30M
1,0,0,1,93,2021-11-07T04:00:00Z,PT30M
0,0,0,0,95,2021-11-07T03:30:00Z,PT30M
0,0,0,0,92,2021-11-07T03:00:00Z,PT30M
0,0,0,0,82,2021-11-07T02:30:00Z,PT30M
0,0,0,0,70,2021-11-07T02:00:00Z,PT30M
0,0,0,0,77,2021-11-07T01:30:00Z,PT30M
0,0,0,0,55,2021-11-07T01:00:00Z,PT30M
0,0,0,0,6,2021-11-07T00:30:00Z,PT30M
0,0,0,0,13,11/7/21,PT30M
0,0,0,0,26,2021-11-06T23:30:00Z,PT30M
0,0,0,0,9,2021-11-06T23:00:00Z,PT30M
0,0,0,0,20,2021-11-06T22:30:00Z,PT30M
0,0,0,0,25,2021-11-06T22:00:00Z,PT30M
0,0,0,0,6,2021-11-06T21:30:00Z,PT30M
0,0,0,0,6,2021-11-06T21:00:00Z,PT30M
0,0,0,0,3,2021-11-06T20:30:00Z,PT30M
0,0,0,0,10,2021-11-06T20:00:00Z,PT30M
0,0,0,0,19,2021-11-06T19:30:00Z,PT30M
0,0,0,0,27,2021-11-06T19:00:00Z,PT30M
0,0,0,0,69,2021-11-06T18:30:00Z,PT30M
0,0,0,0,79,2021-11-06T18:00:00Z,PT30M
3,0,0,3,74,2021-11-06T17:30:00Z,PT30M
60,22,127,39,26,2021-11-06T17:00:00Z,PT30M
172,104,474,67,0,2021-11-06T16:30:00Z,PT30M
220,76,244,144,22,2021-11-06T16:00:00Z,PT30M
350,214,500,136,13,2021-11-06T15:30:00Z,PT30M
487,366,716,121,5,2021-11-06T15:00:00Z,PT30M
474,198,336,276,24,2021-11-06T14:30:00Z,PT30M
500,143,208,356,31,2021-11-06T14:00:00Z,PT30M
625,267,354,357,23,2021-11-06T13:30:00Z,PT30M
579,144,179,434,35,2021-11-06T13:00:00Z,PT30M
576,96,111,479,40,2021-11-06T12:30:00Z,PT30M
501,44,48,457,50,2021-11-06T12:00:00Z,PT30M
641,121,129,520,39,2021-11-06T11:30:00Z,PT30M
771,277,293,494,27,2021-11-06T11:00:00Z,PT30M
546,67,71,479,49,2021-11-06T10:30:00Z,PT30M
444,26,28,417,57,2021-11-06T10:00:00Z,PT30M
589,108,120,481,41,2021-11-06T09:30:00Z,PT30M
703,247,285,456,27,2021-11-06T09:00:00Z,PT30M
408,29,36,379,55,2021-11-06T08:30:00Z,PT30M
280,7,10,273,65,2021-11-06T08:00:00Z,PT30M
269,9,14,259,63,2021-11-06T07:30:00Z,PT30M
529,331,576,198,14,2021-11-06T07:00:00Z,PT30M
513,426,865,86,0,2021-11-06T06:30:00Z,PT30M
399,319,798,81,0,2021-11-06T06:00:00Z,PT30M
258,152,519,106,8,2021-11-06T05:30:00Z,PT30M
147,73,337,74,16,2021-11-06T05:00:00Z,PT30M
63,26,152,37,14,2021-11-06T04:30:00Z,PT30M
7,1,11,6,0,2021-11-06T04:00:00Z,PT30M
0,0,0,0,0,2021-11-06T03:30:00Z,PT30M
0,0,0,0,17,2021-11-06T03:00:00Z,PT30M
0,0,0,0,0,2021-11-06T02:30:00Z,PT30M
0,0,0,0,2,2021-11-06T02:00:00Z,PT30M
0,0,0,0,3,2021-11-06T01:30:00Z,PT30M
0,0,0,0,3,2021-11-06T01:00:00Z,PT30M
0,0,0,0,4,2021-11-06T00:30:00Z,PT30M
0,0,0,0,22,11/6/21,PT30M
0,0,0,0,11,2021-11-05T23:30:00Z,PT30M
0,0,0,0,15,2021-11-05T23:00:00Z,PT30M
0,0,0,0,15,2021-11-05T22:30:00Z,PT30M
0,0,0,0,5,2021-11-05T22:00:00Z,PT30M
0,0,0,0,0,2021-11-05T21:30:00Z,PT30M
0,0,0,0,0,2021-11-05T21:00:00Z,PT30M
0,0,0,0,20,2021-11-05T20:30:00Z,PT30M
0,0,0,0,10,2021-11-05T20:00:00Z,PT30M
0,0,0,0,2,2021-11-05T19:30:00Z,PT30M
0,0,0,0,6,2021-11-05T19:00:00Z,PT30M
0,0,0,0,2,2021-11-05T18:30:00Z,PT30M
0,0,0,0,24,2021-11-05T18:00:00Z,PT30M
9,3,18,6,0,2021-11-05T17:30:00Z,PT30M
66,31,185,35,3,2021-11-05T17:00:00Z,PT30M
153,82,417,70,9,2021-11-05T16:30:00Z,PT30M
207,63,201,145,26,2021-11-05T16:00:00Z,PT30M
371,251,611,119,6,2021-11-05T15:30:00Z,PT30M
507,414,815,93,0,2021-11-05T15:00:00Z,PT30M
504,262,439,243,18,2021-11-05T14:30:00Z,PT30M
648,453,667,195,10,2021-11-05T14:00:00Z,PT30M
780,638,853,142,3,2021-11-05T13:30:00Z,PT30M
871,735,904,135,1,2021-11-05T13:00:00Z,PT30M
933,789,912,144,1,2021-11-05T12:30:00Z,PT30M
832,478,527,354,16,2021-11-05T12:00:00Z,PT30M
765,279,300,485,26,2021-11-05T11:30:00Z,PT30M
695,157,166,538,33,2021-11-05T11:00:00Z,PT30M
670,131,139,538,35,2021-11-05T10:30:00Z,PT30M
751,254,273,497,27,2021-11-05T10:00:00Z,PT30M
771,333,368,438,22,2021-11-05T09:30:00Z,PT30M
723,301,349,421,22,2021-11-05T09:00:00Z,PT30M
631,208,257,424,27,2021-11-05T08:30:00Z,PT30M
636,295,392,341,20,2021-11-05T08:00:00Z,PT30M
426,69,103,356,39,2021-11-05T07:30:00Z,PT30M
317,29,51,287,47,2021-11-05T07:00:00Z,PT30M
223,11,24,211,54,2021-11-05T06:30:00Z,PT30M
35,0,1,35,90,2021-11-05T06:00:00Z,PT30M
123,17,52,106,54,2021-11-05T05:30:00Z,PT30M
75,9,41,67,55,2021-11-05T05:00:00Z,PT30M
30,2,12,28,46,2021-11-05T04:30:00Z,PT30M
4,0,0,4,47,2021-11-05T04:00:00Z,PT30M
0,0,0,0,45,2021-11-05T03:30:00Z,PT30M
0,0,0,0,84,2021-11-05T03:00:00Z,PT30M
0,0,0,0,70,2021-11-05T02:30:00Z,PT30M
0,0,0,0,80,2021-11-05T02:00:00Z,PT30M
0,0,0,0,96,2021-11-05T01:30:00Z,PT30M
0,0,0,0,81,2021-11-05T01:00:00Z,PT30M
0,0,0,0,84,2021-11-05T00:30:00Z,PT30M
0,0,0,0,53,11/5/21,PT30M
0,0,0,0,53,2021-11-04T23:30:00Z,PT30M
0,0,0,0,42,2021-11-04T23:00:00Z,PT30M
0,0,0,0,29,2021-11-04T22:30:00Z,PT30M
0,0,0,0,45,2021-11-04T22:00:00Z,PT30M
0,0,0,0,35,2021-11-04T21:30:00Z,PT30M
0,0,0,0,11,2021-11-04T21:00:00Z,PT30M
0,0,0,0,17,2021-11-04T20:30:00Z,PT30M
0,0,0,0,11,2021-11-04T20:00:00Z,PT30M
0,0,0,0,17,2021-11-04T19:30:00Z,PT30M
0,0,0,0,32,2021-11-04T19:00:00Z,PT30M
0,0,0,0,37,2021-11-04T18:30:00Z,PT30M
7,3,15,5,0,2021-11-04T17:30:00Z,PT30M
43,9,56,34,20,2021-11-04T17:00:00Z,PT30M
100,17,84,83,33,2021-11-04T16:30:00Z,PT30M
157,25,83,132,39,2021-11-04T16:00:00Z,PT30M
193,24,58,169,48,2021-11-04T15:30:00Z,PT30M
229,25,48,205,52,2021-11-04T15:00:00Z,PT30M
286,25,42,261,51,2021-11-04T14:30:00Z,PT30M
411,66,97,345,40,2021-11-04T14:00:00Z,PT30M
506,130,173,376,35,2021-11-04T13:30:00Z,PT30M
582,190,234,392,32,2021-11-04T13:00:00Z,PT30M
736,342,394,393,20,2021-11-04T12:30:00Z,PT30M
766,341,379,425,21,2021-11-04T12:00:00Z,PT30M
806,378,407,428,20,2021-11-04T11:30:00Z,PT30M
786,354,375,431,23,2021-11-04T11:00:00Z,PT30M
733,280,296,453,28,2021-11-04T10:30:00Z,PT30M
696,201,217,494,31,2021-11-04T10:00:00Z,PT30M
646,164,180,482,33,2021-11-04T09:30:00Z,PT30M
484,40,46,444,47,2021-11-04T09:00:00Z,PT30M
522,82,103,440,39,2021-11-04T08:30:00Z,PT30M
555,167,225,387,29,2021-11-04T08:00:00Z,PT30M
402,53,80,349,42,2021-11-04T07:30:00Z,PT30M
339,43,73,296,43,2021-11-04T07:00:00Z,PT30M
229,13,27,216,52,2021-11-04T06:30:00Z,PT30M
175,10,25,165,53,2021-11-04T06:00:00Z,PT30M
115,6,19,109,55,2021-11-04T05:30:00Z,PT30M
62,2,12,60,59,2021-11-04T05:00:00Z,PT30M
31,2,14,28,45,2021-11-04T04:30:00Z,PT30M
4,0,1,3,45,2021-11-04T04:00:00Z,PT30M
0,0,0,0,46,2021-11-04T03:30:00Z,PT30M
0,0,0,0,48,2021-11-04T03:00:00Z,PT30M
0,0,0,0,48,2021-11-04T02:30:00Z,PT30M
0,0,0,0,48,2021-11-04T02:00:00Z,PT30M
0,0,0,0,47,2021-11-04T01:30:00Z,PT30M
0,0,0,0,47,2021-11-04T01:00:00Z,PT30M
0,0,0,0,49,2021-11-04T00:30:00Z,PT30M
0,0,0,0,51,11/4/21,PT30M
0,0,0,0,59,2021-11-03T23:30:00Z,PT30M
0,0,0,0,43,2021-11-03T23:00:00Z,PT30M
0,0,0,0,54,2021-11-03T22:30:00Z,PT30M
0,0,0,0,36,2021-11-03T22:00:00Z,PT30M
0,0,0,0,47,2021-11-03T21:30:00Z,PT30M
0,0,0,0,49,2021-11-03T21:00:00Z,PT30M
0,0,0,0,57,2021-11-03T20:30:00Z,PT30M
0,0,0,0,48,2021-11-03T20:00:00Z,PT30M
0,0,0,0,47,2021-11-03T19:30:00Z,PT30M
0,0,0,0,49,2021-11-03T19:00:00Z,PT30M
0,0,0,0,52,2021-11-03T18:30:00Z,PT30M
0,0,0,0,62,2021-11-03T18:00:00Z,PT30M
6,1,8,4,12,2021-11-03T17:30:00Z,PT30M
33,7,45,25,35,2021-11-03T17:00:00Z,PT30M
76,7,35,69,51,2021-11-03T16:30:00Z,PT30M
150,24,79,126,43,2021-11-03T16:00:00Z,PT30M
236,55,137,181,38,2021-11-03T15:30:00Z,PT30M
257,35,74,222,46,2021-11-03T15:00:00Z,PT30M
255,12,21,242,57,2021-11-03T14:30:00Z,PT30M
464,130,192,333,34,2021-11-03T14:00:00Z,PT30M
533,140,186,393,32,2021-11-03T13:30:00Z,PT30M
791,563,693,227,9,2021-11-03T13:00:00Z,PT30M
653,191,223,462,29,2021-11-03T12:30:00Z,PT30M
770,347,386,423,21,2021-11-03T12:00:00Z,PT30M
674,157,169,517,33,2021-11-03T11:30:00Z,PT30M
747,246,262,500,27,2021-11-03T11:00:00Z,PT30M
886,536,573,350,14,2021-11-03T10:30:00Z,PT30M
684,169,183,514,33,2021-11-03T10:00:00Z,PT30M
587,96,106,491,40,2021-11-03T09:30:00Z,PT30M
502,48,56,454,46,2021-11-03T09:00:00Z,PT30M
573,134,167,439,34,2021-11-03T08:30:00Z,PT30M
561,181,243,380,29,2021-11-03T08:00:00Z,PT30M
409,127,187,282,42,2021-11-03T07:30:00Z,PT30M
205,5,9,200,65,2021-11-03T07:00:00Z,PT30M
